Skull Position,"Index (column, 1-indexed)","Index (row, 1-indexed)",Frequency (MHz),SDS Sample #,Input Voltage (V),Peak to Peak (mV),Notes,Raffi says bad,
1,2,2,0.5,4,50,,,,
1,2,2,1,5,50,,,,
1,2,2,2,6,50,,,,
1,2,2,3,7,50,,3.4 ptp mV,,
1,4,2,0.5,8,50,,"Nothing here, out of the physical range for the probe",Bad,
1,2,3,0.5,9,50,,White stuff started appearing in the water???,,
1,2,3,1,10,50,,,,
1,2,3,2,11,50,,,,
1,2,3,3,12,50,,,,
1,2,3,2,13,50,,Redid because of missing peak to peak,,
1,2,3,3,14,50,,,,
1,1,3,0.5,15,50,,,,
1,1,3,2,16,50,44.8,,,
1,1,3,1,17,50,24,,,CHANGE minTpcVoltage back to 1.6 from 50
1,1,3,3,18,50,36,,,
1,3,3,3,N/A,N/A,,Seemingly nothing,,
1,4,3,3,19,50,,,,
1,4,3,0.5,21,50,,,,
1,4,3,1,22,50,,,,
1,4,3,2,24,50,,,,
1,4,3,3,25,50,,,,
1,3,4,0.5,27,50,,,,
1,3,4,1,28,50,,,,
1,3,4,2,30,50,,,Bad,
1,3,4,3,31,50,7.6,,Bad,
1,1,4,0.5,32,50,25,,,
1,1,4,1,33,50,,,Bad,
1,1,4,2,34,50,57,,,
1,1,4,3,35,50,55,,,
1,2,4,0.5,36,50,,,,
1,2,4,1,37,50,,,,
1,2,4,2,39,50,72.9,,,
1,2,4,3,41,50,63,,,
1,3,5,0.5,N/A,50,NOT READING,,,
1,5,5,0.5,N/A,50,NOT READING,,,
1,5,4,0.5,N/A,50,NOT READING,,,
1,1,5,0.5,42,50,,,,
1,1,5,1,43,50,,,,
1,1,5,2,44,50,7,,,
1,1,5,3,45,50,3.5,,,
1,2,5,0.5,N/A,50,NOT READING,,,
0,2,2,0.5,46,50,21,"Just the hydrophone, no skull",,
0,2,2,1,47,50,,,,
0,2,2,2,48,50,,,,
0,2,2,3,49,50,50,,,
0,2,4,0.5,50,50,,,,
0,2,4,1,51,50,31,,,
0,2,4,2,53,50,156,,,
0,2,4,3,54,50,194,,,
0,4,2,0.5,N/A,50,NOT READING,,,
0,1,3,0.5,55,50,,,,
0,1,3,1,57,50,100,,,
0,1,3,2,58,50,,,,
0,1,3,3,59,50,34,,,
0,2,3,0.5,60,,76,,,
0,2,3,1,62,,,,,
0,2,3,2,63,,,,,
0,2,3,3,64,,,,,
0,3,3,0.5,66,,,,,
0,3,3,1,67,,,,,
0,3,3,2,68,,30.6,,,
0,3,3,3,69,,9,,,
0,4,3,0.5,73,,,,,
0,4,3,1,72,,,,,
0,4,3,2,71,,,,,
0,4,3,3,70,,,,,
0,1,4,0.5,76,,,,,
0,1,4,1,77,,,,,
0,1,4,2,78,,,,,
0,1,4,3,79,also 80,172,,,
0,2,4,0.5,84,,,,,
0,2,4,1,83,,,,,
0,2,4,2,82,,140,,,
0,2,4,3,81,,,,,
0,3,4,0.5,85,,,,,
0,3,4,1,86,,,,,
0,3,4,2,87,,,,,
0,3,4,3,90,,,,,
0,4,4,0.5,NOT MEASURED,,,,,
0,1,5,0.5,94,,,,,
0,1,5,1,93,,6,,,
0,1,5,2,92,,,,,
0,1,5,3,91,,,,,
0,2,5,0.5,95,,,,,
0,2,5,1,96,,,,,
0,2,5,2,97,,,,,
0,2,5,3,98,,,,,
0,3,5,0.5,NOT MEASURED,,,,,
0,4,5,0.5,NOT MEASURED,,,,,
